,id,Rent,Frequence,Geo,Address,Type,Overview,Facilities,Ber,Ber n,Author,Description,url,Created_at,Closed_at,Close
0,26115506,1900,month,"{'lat': '53.37124570703054', 'long': '-6.235435020430145'}","1 Bedroom Apartments, Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",Apartment,"{'Double Bedroom': '1', 'Bathroom': '1', 'Furnished': 'Yes', 'Lease': 'Minimum 6 Months'}","['Parking', 'Central Heating', 'Alarm', 'Cable Television', 'Washing Machine', 'Dryer', 'Dishwasher', 'Microwave', 'Pets Allowed', 'Wheelchair Access', 'Internet', 'Garden / Patio / Balcony']",A3,NaN,Donal Ashe,"""Move in from November 2021, with early offers available.  Life at Griffith Wood is the best of both worlds, where city living meets suburban serenity.  Griffith Wood apartments are meticulously designed and furnished for modern living. Homes are spacious and bright, with high ceilings and large windows that increase natural light. Each room is furnished to the highest specification, including home office furniture as standard. From the large double bed, en-suite and fitted wardrobe in your bedroom to the bespoke sofa and armchair in your living room, to the essential (and some non-essential) home appliances that populate the fitted kitchen, every aspect of the apartment is geared towards your comfort, enjoyment and well-being.   But the Griffith Wood experience doesn’t start and end at your front door. As a resident, you’ll enjoy a range of benefits to help you achieve your ideal work-life balance, including:  ●	Concierge service  ●	Residents gym  ●	Residents lounge ●	Residents events ●	Co-working space ●	Meeting rooms ●	Onsite maintenance and management team  ●	Car parking and secure bicycle storage  Griffith Wood is an accessible, pet-friendly development, with an on-site playground and parkland setting.  This is evident in where your apartment is located too: on a main bus and bicycle route, and within walking distance of a DART station, as well as the area’s wonderful array of local shops, cafés, restaurants and schools. Dublin City Centre, Dublin City University, the International Financial Services Centre (IFSC) and East Point Business Park are all within easy reach by car and public transport, and Dublin City Airport is less than 15 minutes away by taxi.   Please note that all images, floorplans and included are for illustrative and indicative purposes only. Individual features and layout may vary. Prospective tenants must satisfy themselves by inspection or otherwise as to the correctness of the property"".",/for-rent/apartment-1-bedroom-apartments-griffith-wood-griffith-avenue-drumcondra-dublin-9/3523579,2021-10-25,,False
1,26115507,2250,month,"{'lat': '53.37124570703054', 'long': '-6.235435020430145'}","2 Bedroom Apartments, Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",Apartment,"{'Double Bedroom': '2', 'Bathroom': '2', 'Furnished': 'No', 'Lease': 'Minimum 6 Months'}","['Parking', 'Central Heating', 'Alarm', 'Cable Television', 'Washing Machine', 'Dryer', 'Dishwasher', 'Microwave', 'Pets Allowed', 'Wheelchair Access', 'Internet', 'Garden / Patio / Balcony']",A3,NaN,Donal Ashe,"""Move in from November 2021, with early offers available.  Life at Griffith Wood is the best of both worlds, where city living meets suburban serenity.  Griffith Wood apartments are meticulously designed and furnished for modern living. Homes are spacious and bright, with high ceilings and large windows that increase natural light. Each room is furnished to the highest specification, including home office furniture as standard. From the large double bed, en-suite and fitted wardrobe in your bedroom to the bespoke sofa and armchair in your living room, to the essential (and some non-essential) home appliances that populate the fitted kitchen, every aspect of the apartment is geared towards your comfort, enjoyment and well-being.   But the Griffith Wood experience doesn’t start and end at your front door. As a resident, you’ll enjoy a range of benefits, including:  ●        Concierge service  ●        Residents gym  ●        Residents lounge ●        Residents events ●        Co-working space ●        Meeting rooms ●        Onsite maintenance and management team  ●        Car parking and secure bicycle storage  Griffith Wood is an accessible, pet-friendly development, with an on-site playground and parkland setting.    Your apartment is located on a main bus and bicycle route, and within walking distance of a DART station, as well as the area’s wonderful array of local shops, cafés, restaurants and schools. Dublin City Centre, Dublin City University, the International Financial Services Centre (IFSC) and East Point Business Park are all within easy reach by car and public transport, and Dublin City Airport is less than 15 minutes away by taxi.   Please note that all images, floorplans and included are for illustrative and indicative purposes only. Individual features and layout may vary. Prospective tenants must satisfy themselves by inspection or otherwise as to the correctness of the property"".",/for-rent/apartment-2-bedroom-apartments-griffith-wood-griffith-avenue-drumcondra-dublin-9/3523582,2021-10-25,,False
2,26115508,3045,month,"{'lat': '53.37124570703054', 'long': '-6.235435020430145'}","3 Bedroom Apartments, Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",Apartment,"{'Double Bedroom': '3', 'Bathroom': '3', 'Furnished': 'Yes', 'Lease': 'No Minimum'}","['Parking', 'Central Heating', 'Alarm', 'Cable Television', 'Washing Machine', 'Dryer', 'Dishwasher', 'Microwave', 'Pets Allowed', 'Wheelchair Access', 'Internet', 'Garden / Patio / Balcony']",A3,NaN,Donal Ashe,"""Move in from November 2021, with early offers available.  Life at Griffith Wood is the best of both worlds, where city living meets suburban serenity.  Griffith Wood apartments are meticulously designed and furnished for modern living. Homes are spacious and bright, with high ceilings and large windows that increase natural light. Each room is furnished to the highest specification, including home office furniture as standard. From the large double bed, en-suite and fitted wardrobe in your bedroom to the bespoke sofa and armchair in your living room, to the essential (and some non-essential) home appliances that populate the fitted kitchen, every aspect of the apartment is geared towards your comfort, enjoyment and well-being. Our 3 bed, 3 bathroom units are quite unique.   But the Griffith Wood experience doesn’t start and end at your front door. As a resident, you’ll enjoy a range of benefits, including:  ●        Concierge service  ●        Residents gym  ●        Residents lounge ●        Residents events ●        Co-working space ●        Meeting rooms ●        Onsite maintenance and management team  ●        Car parking and secure bicycle storage  Griffith Wood is an accessible, pet-friendly development, with an on-site playground and parkland setting.  This is evident in where your apartment is located too: on a main bus and bicycle route, and within walking distance of a DART station, as well as the area’s wonderful array of local shops, cafés, restaurants and schools. Dublin City Centre, Dublin City University, the International Financial Services Centre (IFSC) and East Point Business Park are all within easy reach by car and public transport, and Dublin City Airport is less than 15 minutes away by taxi.   Please note that all images, floorplans and included are for illustrative and indicative purposes only. Individual features and layout may vary. Prospective tenants must satisfy themselves by inspection or otherwise as to the correctness of the property """,/for-rent/apartment-3-bedroom-apartments-griffith-wood-griffith-avenue-drumcondra-dublin-9/3523581,2021-10-25,,False
3,24779521,3150,month,"{'lat': '53.34405828419555', 'long': '-6.234840952683702'}","2-Bed Apartment, Opus, 6 Hanover Quay, Hanover Quay, Dublin 2",Apartment,"{'Double Bedroom': '2', 'Bathroom': '2', 'Furnished': 'Optional', 'Lease': 'Minimum 6 Months'}","['Parking', 'Central Heating', 'Cable Television', 'Washing Machine', 'Dryer', 'Dishwasher', 'Microwave', 'Pets Allowed', 'Internet', 'Garden / Patio / Balcony']",A2,NaN,Anna Pierzchala,"Savills is delighted to present Opus at 6 Hanover Quay in the centre of Dublin's Docklands to the rental market. Set apart from all other residential offerings in the city at present, Opus at 6 Hanover Quay offers residents a unique living experience in this striking building featuring 120 individual homes. Living at Opus will offer residents a range of exclusive amenities and a level of service that is second to none, including:  - Spacious and bright entrance lobby where you will be greeted by the concierge - State of the art on-site gym - Two roof terraces located on the seventh and eighth floors - Business pods, to offer flexibility of which will have free WiFi services - Laundry and dry-cleaning services - Package and parcel collection - Luxury shared cars - Secure underground car parking space - Secure bicycle storage - Concierge team based on site 7 days a week - 24-hour security - On-site custodian to take care of your maintenance needs  Residents will also be able to avail of the following soft services as they wish; - LUAS passes - Housekeeping service - Additional basement storage - Local business recommendations - Swimming pool passes - Theatre tickets - Golfing green fees  Accommodation in Opus is comprised of the following: - Open plan living / dining / kitchen space with an abundance of natural light - Master bedroom with extra-length headboards, fitted wardrobes, under-bed storage and a large en-suite - Additional bedrooms also come complete with extra-length headboards, fitted wardrobes and under-bed storage - Main bathroom comes complete with a bath and dual sinks - Excellently sized storage rooms within the apartments in addition to wardrobes  All homes at Opus are uniquely designed, and will have as standard: - Bespoke furniture package offering the perfect balance of traditionally masculine and feminine colours, tones and fabrics - Siemens appliances to include washing machine and separate tumble dryer, fridge/freezer, oven, hob, dishwasher and microwave - Water- or internal courtyard-facing balconies - Sky / Virgin Media packages for TV, broadband and phone  Viewings of these outstanding homes is by appointment with the agent only and will be done so on an individual basis (no group viewings). To full appreciate the beauty of this development and envisage yourself living in the newest residential scheme in Dublin, please call or email today to arrange a viewing.",/for-rent/apartment-2-bed-apartment-opus-6-hanover-quay-hanover-quay-dublin-2/3217502,2021-10-25,,False
4,21980380,3572,month,"{'lat': '53.34405828419555', 'long': '-6.234840952683702'}","2-Bed Apartment, Opus, 6 Hanover Quay, Hanover Quay, Dublin 2",Apartment,"{'Double Bedroom': '2', 'Bathroom': '2', 'Furnished': 'Yes', 'Lease': 'Minimum 1 Year'}","['Parking', 'Central Heating', 'Cable Television', 'Washing Machine', 'Dryer', 'Dishwasher', 'Microwave', 'Pets Allowed', 'Internet', 'Garden / Patio / Balcony']",A3,NaN,Anna Pierzchala,"Savills is delighted to present Opus at 6 Hanover Quay in the centre of Dublin's Docklands to the rental market. Set apart from all other residential offerings in the city at present, Opus at 6 Hanover Quay offers residents a unique living experience in this striking building featuring 120 individual homes. Living at Opus will offer residents a range of exclusive amenities and a level of service that is second to none, including:  - Spacious and bright entrance lobby where you will be greeted by the concierge - State of the art on-site gym - Two roof terraces located on the seventh and eighth floors - Business pods, to offer flexibility of  which will have free WiFi services - Laundry and dry-cleaning services - Package and parcel collection - Luxury shared cars - Secure underground car parking space - Secure bicycle storage - Concierge team based on site 7 days a week - 24-hour security - On-site custodian to take care of your maintenance needs  Residents will also be able to avail of the following soft services as they wish; - LUAS passes - Housekeeping service - Additional basement storage - Local business recommendations - Swimming pool passes - Theatre tickets - Golfing green fees  Accommodation in Opus is comprised of the following: - Open plan living / dining / kitchen space with an abundance of natural light - Master bedroom with extra-length headboards, fitted wardrobes, under-bed storage and a large en-suite - Additional bedrooms also come complete with extra-length headboards, fitted wardrobes and under-bed storage - Main bathroom comes complete with a bath and dual sinks - Excellently sized storage rooms within the apartments in addition to wardrobes  All homes at Opus are uniquely designed, and will have as standard: - Bespoke furniture package offering the perfect balance of traditionally masculine and feminine colours, tones and fabrics - Siemens appliances to include washing machine and separate tumble dryer, fridge/freezer, oven, hob, dishwasher and microwave - Water- or internal courtyard-facing balconies - Sky / Virgin Media packages for TV, broadband and phone  Viewings of these outstanding homes is by appointment with the agent only and will be done so on an individual basis (no group viewings). To full appreciate the beauty of this development and envisage yourself living in the newest residential scheme in Dublin, please call or email today to arrange a viewing.",/for-rent/apartment-2-bed-apartment-opus-6-hanover-quay-hanover-quay-dublin-2/1442730,2021-10-25,,False
5,21980381,4000,month,"{'lat': '53.34405828419555', 'long': '-6.234840952683702'}","2-Bed Apartment, Opus, 6 Hanover Quay, Hanover Quay, Dublin 2",Apartment,"{'Double Bedroom': '2', 'Bathroom': '2', 'Furnished': 'Yes', 'Lease': 'Minimum 1 Year'}","['Parking', 'Central Heating', 'Cable Television', 'Washing Machine', 'Dryer', 'Dishwasher', 'Microwave', 'Pets Allowed', 'Internet', 'Garden / Patio / Balcony']",A2,NaN,Anna Pierzchala,"Savills is delighted to present Opus at 6 Hanover Quay in the centre of Dublin's Docklands to the rental market. Set apart from all other residential offerings in the city at present, Opus at 6 Hanover Quay offers residents a unique living experience in this striking building featuring 120 individual homes. Living at Opus will offer residents a range of exclusive amenities and a level of service that is second to none, including:  - Spacious and bright entrance lobby where you will be greeted by the concierge - State of the art on-site gym - Two roof terraces located on the seventh and eighth floors - Business pods, to offer flexibility of which will have free WiFi services - Laundry and dry-cleaning services - Package and parcel collection - Luxury shared cars - Secure underground car parking space - Secure bicycle storage - Concierge team based on site 7 days a week - 24-hour security - On-site custodian to take care of your maintenance needs  Residents will also be able to avail of the following soft services as they wish; - LUAS passes - Housekeeping service - Additional basement storage - Local business recommendations - Swimming pool passes - Theatre tickets - Golfing green fees  Accommodation in Opus is comprised of the following: - Open plan living / dining / kitchen space with an abundance of natural light - Master bedroom with extra-length headboards, fitted wardrobes, under-bed storage and a large en-suite - Additional bedrooms also come complete with extra-length headboards, fitted wardrobes and under-bed storage - Main bathroom comes complete with a bath and dual sinks - Excellently sized storage rooms within the apartments in addition to wardrobes  All homes at Opus are uniquely designed, and will have as standard: - Bespoke furniture package offering the perfect balance of traditionally masculine and feminine colours, tones and fabrics - Siemens appliances to include washing machine and separate tumble dryer, fridge/freezer, oven, hob, dishwasher and microwave - Water- or internal courtyard-facing balconies - Sky / Virgin Media packages for TV, broadband and phone  Viewings of these outstanding homes is by appointment with the agent only and will be done so on an individual basis (no group viewings). To full appreciate the beauty of this development and envisage yourself living in the newest residential scheme in Dublin, please call or email today to arrange a viewing.",/for-rent/apartment-2-bed-apartment-opus-6-hanover-quay-hanover-quay-dublin-2/1442731,2021-10-25,,False
6,24583877,2442,month,"{'lat': '53.38280997009397', 'long': '-6.148547811391751'}","2 Bedroom apartment, OCCU Strand View, Howth Road, Raheny, Dublin 5",Apartment,"{'Double Bedroom': '2', 'Bathroom': '2', 'Furnished': 'Yes', 'Lease': 'Minimum 1 Year'}","['Parking', 'Alarm', 'Cable Television', 'Washing Machine', 'Dishwasher', 'Microwave', 'Internet', 'Garden / Patio / Balcony']",A2,NaN,Occu Strand View,"2 bedroom sea facing apartment**  Superb one, two and three bedroom waterfront apartments and 3 and 4 bedroom houses in North Dublin, uninterrupted views across Bull Island and Dublin Bay. This high-end development benefits from plentiful local amenities, acres of green surrounds and quick, easy access into Dublin city centre.  The stylishly furnished apartments have the finest-quality finishes throughout, with open-plan living spaces flooded with natural light. Built with our residents in mind, we've included the little touches that make life easier, including plenty of secure car parking.  Strand View’s two bedroom apartments have open plan living spaces flooded with natural light. Stylish furnishing, spacious bedrooms and fitted with modern appliances.  •	Two spacious bedrooms •	Private balcony •	Dedicated storage •	Ensuite in the master  •	Fitted Wardrobes •	A -rated appliances   * Please enquire at https://occu.ie/ *  ** Please note, photos may not be specific to this apartment but all apartments are finished to similar standard **",/for-rent/apartment-2-bedroom-apartment-occu-strand-view-howth-road-raheny-dublin-5/3196902,2021-10-25,,False
7,24593578,3250,month,"{'lat': '53.38280997009397', 'long': '-6.148547811391751'}","3 Bedroom House, OCCU Strand View, Howth Road, Raheny, Dublin 5",House,"{'Double Bedroom': '3', 'Bathroom': '2', 'Furnished': 'Yes', 'Lease': 'Minimum 1 Year'}","['Parking', 'Alarm', 'Cable Television', 'Washing Machine', 'Dishwasher', 'Microwave', 'Internet', 'Garden / Patio / Balcony']",A2,NaN,Occu Strand View," Last Remaining 3 Bedroom Houses**  In a perfectly placed waterfront scheme with views overlooking Dublin Bay, these high-end three- and four-bedroom houses benefit from plentiful local amenities, acres of green surrounds and quick, easy access into Dublin city centre.  In this established residential suburb, enjoy the perfect balance between fresh sea air, green landscapes and practical city living. With close proximity to local schools, two large shopping centres, world-class golf courses, weekly farmers’ markets and beautiful local villages. Make the most of great transport links into the city and to Dublin Airport.  These beautiful homes have a large open plan kitchen, living and dining room downstairs, spacious bedrooms and a private landscaped garden. Excellent finishes and stylish furnishing throughout.   • Three Bedrooms  • Shower and Bath • Dedicated Parking Space  • Ensuite in the master  • Excellent kitchen appliances • Landscaped Garden  These stunning three- and four-bed houses available at Strand View with open-plan living spaces, stylish furnishings and landscaped gardens make a perfect home.  *Please enquire at https://occu.ie/ *  ** Please note, photos may not be specific to this house but all houses are finished to similar standard **",/for-rent/house-3-bedroom-house-occu-strand-view-howth-road-raheny-dublin-5/3197936,2021-10-25,,False
8,22087655,3300,month,"{'lat': '53.344905963613485', 'long': '-6.231118982370589'}","2 Bedroom Apartment, Capital Dock Residence, Grand Canal , Dublin 2",Apartment,"{'Double Bedroom': '2', 'Bathroom': '2', 'Furnished': 'Yes', 'Lease': 'Minimum 1 Year'}",NaN,A2,NaN,Eoin Grant,"This elegant two bedroom apartment, offers incredible views of endless sky and riverscape from nearly every window.  Ceilings reach for the stars in bedrooms and open plan living areas. Sunlight streams through floor-to-ceiling windows, creating bright and airy interiors, drawing attention to the impeccable design detail and finish.  Kingsize beds and roomy wardrobes give you the space you deserve. The master bedroom has a spacious ensuite wet room while the bathroom, akin to a five star spa experience, has a Kaldewei bathtub, GROHE shower, Duravit sanitary ware and Appiani ceramic tiles.  The kitchen is innovative with Miele appliances next door to a utility room with an AEG washer dryer. While a large storage room accommodates anything that has yet to find its home.   One tour of this apartment highlights sublime comfort and convenience – all you could possibly want is right where you want it.   A dedicated onsite concierge team is part of the lifestyle experience. Available 7 days a week to make your life easier, these property managers arrange dry cleaning, personal training and more, along with maintaining the privacy and safety of the grounds.  Private onsite amenities cater for your every mood. There is a gym, cinema, games room, entertaining kitchen, dining room and lounge for unwinding.   Join a community of nature enthusiasts, culture fans, dog lovers, health buffs and pleasure seekers who enjoy a five star living experience.   Virtual tours enable you to view apartments while respecting social distancing guidelines. They are helpful in illustrating the layout and interior style of a sample residence.   Please Note: These virtual tours have been produced for illustrative purposes only to demonstrate a sample unit which may not be the same unit as advertised. Prospective residents should note that it is solely intended for their guidance and assistance and nothing contained in it should be considered as a definitive representation or legally binding warranty. All areas, measurements and layouts referred to are given as a guide only.",/for-rent/apartment-2-bedroom-apartment-capital-dock-residence-grand-canal-dublin-2/2607782,2021-10-25,,False
9,23805557,4200,month,"{'lat': '53.344905963613485', 'long': '-6.231118982370589'}","Two Bedroom Apartment, Capital Dock Residence, Grand Canal , Dublin 2",Apartment,"{'Double Bedroom': '2', 'Bathroom': '2', 'Furnished': 'Yes', 'Lease': 'No Minimum'}","['Parking', 'Central Heating', 'Cable Television', 'Washing Machine', 'Dryer', 'Dishwasher', 'Microwave', 'Pets Allowed', 'Wheelchair Access', 'Internet', 'Garden / Patio / Balcony', 'Serviced Property']",A2,0.00,Eoin Grant,"This elegant two bedroom apartment, offers incredible views of endless sky and riverscape from nearly every window.  Ceilings reach for the stars in bedrooms and open plan living areas. Sunlight streams through floor-to-ceiling windows, creating bright and airy interiors, drawing attention to the impeccable design detail and finish.  Kingsize beds and roomy wardrobes give you the space you deserve. The master bedroom has a spacious ensuite wet room while the bathroom, akin to a five star spa experience, has a Kaldewei bathtub, GROHE shower, Duravit sanitary ware and Appiani ceramic tiles.  The kitchen is innovative with Miele appliances next door to a utility room with an AEG washer dryer. While a large storage room accommodates anything that has yet to find its home.   One tour of this apartment highlights sublime comfort and convenience – all you could possibly want is right where you want it.   A dedicated onsite concierge team is part of the lifestyle experience. Available 7 days a week to make your life easier, these property managers arrange dry cleaning, personal training and more, along with maintaining the privacy and safety of the grounds.  Private onsite amenities cater for your every mood. There is a gym, cinema, games room, entertaining kitchen, dining room and lounge for unwinding.   Join a community of nature enthusiasts, culture fans, dog lovers, health buffs and pleasure seekers who enjoy a five star living experience.   Virtual tours enable you to view apartments while respecting social distancing guidelines. They are helpful in illustrating the layout and interior style of a sample residence.   Please Note: These virtual tours have been produced for illustrative purposes only to demonstrate a sample unit which may not be the same unit as advertised. Prospective residents should note that it is solely intended for their guidance and assistance and nothing contained in it should be considered as a definitive representation or legally binding warranty. All areas, measurements and layouts referred to are given as a guide only.",/for-rent/apartment-two-bedroom-apartment-capital-dock-residence-grand-canal-dublin-2/2915605,2021-10-25,,False
